Team,Span,Days,Games,Wins,Draws,Losses,PPG,Image,Trophies,TrophyImage
Greece,Jul 2014 – Nov 2014,113,4,0,1,3,0.25,images/team_logos/greece.svg,none,none
Monaco,Sep 2014 – Jun 2014,688,87,52,24,11,2.07,images/team_logos/monaco.svg,none,none
Inter,Sep 2011 – Mar 2012,186,35,17,5,13,1.60,images/team_logos/inter.svg,none,none
Roma,Sep 2009 – Feb 2011,537,84,47,16,21,1.87,images/team_logos/roma.svg,none,none
Juventus,Jul 2007 – May 2009,687,93,47,29,17,1.83,images/team_logos/juventus.svg,none,none
Parma,Feb 2007 – Jul 2007,137,18,7,6,5,1.50,images/team_logos/parma.svg,none,none
Valencia,Jun 2004 – Feb 2005,239,36,15,9,12,1.50,images/team_logos/valencia.svg,1x Uefa Supercup,images/supercup.svg
Chelsea,Sep 2000 – May 2004,1381,199,107,46,46,1.84,images/team_logos/england_chelsea.svg,none,none
Atlético,Jul 1999 – Mar 2000,246,39,16,10,13,1.49,images/team_logos/atletico.svg,none,none
Valencia,Jul 1997 – Jul 1999,648,94,49,18,27,1.76,images/team_logos/valencia.svg,1x Spanish Cup,images/spanishcup.svg
Fiorentina,Jul 1993 – Jun 1997,1460,170,73,57,40,1.62,images/team_logos/fiorentina.svg,1x Italian Cup,images/italiancup.svg
Napoli,Jul 1991 – Apr 1992,510,55,25,16,14,1.65,images/team_logos/napoli.svg,none,none
Cagliari,Jul 1988 – Jun 1991,1094,109,39,43,27,1.47,images/team_logos/cagliari.svg,none,none
