match_id,opponent,minute,second,shot_x,shot_y,goal_x,goal_y,goal_z,xG,body_part,shot_type
3754341,Stoke City,65,55,115.6,51.3,120.0,37.4,0.2,0.28052744,Right Foot,Open Play
3754013,Chelsea,33,4,111.2,44.0,120.0,41.4,1.5,0.19459532,Right Foot,Open Play
3754156,Watford,64,58,108.0,40.1,120.0,39.6,2.1,0.7835,Right Foot,Penalty
3754033,Everton,4,58,113.0,40.7,120.0,37.2,1.7,0.36916706,Right Foot,Open Play
3754033,Everton,64,49,108.1,40.1,120.0,36.6,0.0,0.7835,Right Foot,Penalty
3754023,AFC Bournemouth,85,45,108.1,40.1,120.0,42.5,2.0,0.7835,Right Foot,Penalty
3754275,Liverpool,59,6,96.9,59.9,120.0,41.7,2.0,0.014999832,Right Foot,Open Play
3754275,Liverpool,70,58,112.2,34.9,120.0,43.1,2.1,0.44739434,Left Foot,Open Play
3754263,Crystal Palace,58,54,116.9,42.9,120.0,42.9,1.2,0.8103955,Right Foot,Open Play
3754146,Stoke City,68,22,105.0,39.1,120.0,43.1,0.0,0.21847719,Left Foot,Open Play
3754106,Aston Villa,81,25,112.7,40.7,120.0,37.6,0.0,0.2589955,Left Foot,Open Play
3754261,Arsenal,44,20,108.1,40.1,120.0,42.0,1.2,0.7835,Right Foot,Penalty
3754152,Sunderland,65,18,113.3,30.0,120.0,43.8,0.9,0.21413524,Right Foot,Open Play
3754152,Sunderland,94,42,109.4,42.5,120.0,39.6,0.4,0.9951224,Right Foot,Open Play
3754186,Manchester United,23,26,107.8,53.0,120.0,37.1,0.6,0.14171019,Right Foot,Open Play
3754237,Sunderland,10,17,108.1,25.7,120.0,41.8,1.5,0.012146741,Head,Open Play
3754302,Southampton,65,35,112.5,45.3,120.0,43.3,1.5,0.12593721,Head,Open Play
3754302,Southampton,90,50,107.3,45.8,120.0,42.7,1.4,0.40401006,Right Foot,Open Play
3754174,Arsenal,12,11,113.3,25.9,120.0,43.2,0.3,0.07671545,Right Foot,Open Play
3754174,Arsenal,88,12,110.5,26.7,120.0,43.3,1.2,0.0611111,Right Foot,Open Play
3754227,West Ham United,17,56,108.9,31.0,120.0,43.3,0.3,0.19081652,Left Foot,Open Play
3754335,Norwich City,27,13,108.1,40.1,120.0,38.2,1.3,0.7835,Right Foot,Penalty
3754211,Newcastle United,45,50,107.2,27.9,120.0,37.0,0.5,0.1296082,Right Foot,Open Play
3754006,West Bromwich Albion,76,21,107.9,46.6,120.0,36.3,1.9,0.30264518,Right Foot,Open Play
